id,work_year,experience_level,employment_type,job_title,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary
107,2024.0,SE,,Engineer,USD,US,0.0,US,M,207000
108,2024.0,,FT,Data Engineer,USD,,2.0,,,160000
109,2024.0,SE,FT,Machine Learning Engineer,USD,US,0.0,US,M,151968
110,2024.0,MI,FT,Business Intelligence,USD,CA,0.0,CA,M,83038
111,2024.0,SE,FT,Data Scientist,USD,US,,US,M,160000
112,2024.0,,FT,Data Scientist,USD,US,0.0,US,,90000
113,2024.0,SE,,Machine Learning Engineer,USD,,2.0,US,M,206000
115,2023.0,SE,FT,Data Analyst,USD,US,0.0,US,M,187000
116,2024.0,EN,,Data Operations Analyst,USD,US,0.0,US,,90000
117,2024.0,MI,,Manager,USD,US,0.0,US,M,116900
118,,SE,FT,AI Engineer,USD,,,US,M,130000
120,2024.0,SE,FT,Data Engineer,USD,US,2.0,US,M,90300
121,2024.0,SE,FT,Research Engineer,USD,US,0.0,US,M,200000
122,2023.0,,FT,Data Engineer,USD,US,0.0,US,M,125000
123,2024.0,EX,FT,Data Engineer,USD,US,2.0,US,M,227500
124,2024.0,SE,FT,Business Intelligence,USD,US,2.0,US,M,144300
125,,SE,FT,Applied Scientist,USD,US,0.0,US,L,136000
126,,,FT,Data Engineer,USD,US,0.0,US,M,158400
127,2024.0,SE,FT,Software Engineer,USD,US,,US,M,202000
129,2024.0,MI,FT,Machine Learning Engineer,USD,US,0.0,US,,54000
130,2024.0,MI,FT,Associate,USD,US,0.0,US,M,151800
131,2024.0,MI,FT,Software Engineer,USD,US,0.0,US,M,61200
132,2024.0,MI,FT,Engineer,USD,US,0.0,US,,52016
134,2024.0,,,Machine Learning Engineer,USD,US,,US,M,225000
135,2024.0,SE,FT,Machine Learning Scientist,USD,US,0.0,US,M,220000
136,,SE,FT,Machine Learning Engineer,USD,US,0.0,US,M,184300
137,2024.0,SE,FT,Research Analyst,USD,,0.0,US,M,150000
138,,SE,,Data Scientist,USD,US,0.0,US,M,236900
139,,SE,FT,Data Engineer,USD,US,0.0,US,M,140000
140,2024.0,MI,,Data Scientist,USD,US,0.0,US,M,179000
142,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,M,123000
144,2024.0,SE,,Data Analytics Lead,USD,,0.0,US,M,176000
146,,,FT,Data Scientist,USD,US,,US,,198739
147,2024.0,MI,,Data Engineer,USD,US,,,M,166000
148,,MI,FT,Data Scientist,USD,US,,US,M,127600
149,,MI,FT,Data Engineer,USD,,,US,M,184000
150,2024.0,SE,,Decision Scientist,USD,US,0.0,US,,206000
151,2023.0,MI,FT,Data Scientist,USD,,,,M,117000
152,2024.0,MI,FT,Data Engineer,USD,AR,2.0,AR,M,70000
153,2024.0,,FT,Research Scientist,USD,US,0.0,US,M,205700
154,2024.0,,FT,Engineer,USD,US,2.0,US,,210000
155,2024.0,,FT,Software Engineer,USD,US,0.0,US,M,85000
156,2024.0,EN,FT,Data Scientist,USD,US,0.0,US,M,97525
157,2024.0,SE,FT,Product Manager,USD,US,2.0,,M,106605
158,2024.0,,FT,Engineering Manager,USD,US,0.0,US,M,310000
159,2024.0,SE,FT,Machine Learning Engineer,USD,US,,US,M,230000
160,2023.0,SE,FT,Data Analyst,USD,US,2.0,US,M,95000
161,,,,Engineer,USD,,0.0,US,M,150000
162,2024.0,SE,FT,Research Engineer,USD,US,0.0,US,M,143100
163,,MI,,Applied Scientist,USD,US,0.0,US,L,136000
165,2024.0,SE,,Solutions Architect,USD,US,,US,M,172000
166,,EN,FT,Business Intelligence Analyst,USD,,0.0,US,,104000
167,2024.0,SE,FT,Engineer,USD,US,0.0,US,M,294000
169,,SE,,Data Scientist,USD,US,0.0,US,M,185900
170,2024.0,MI,FT,Data Management Analyst,USD,US,0.0,US,M,76320
171,2024.0,SE,,Software Engineer,USD,US,0.0,US,M,185000
172,2024.0,SE,FT,Research Scientist,USD,US,0.0,US,,113700
173,2024.0,,FT,Data Analyst,USD,US,0.0,US,M,92920
174,2024.0,,FT,Research Scientist,USD,US,0.0,US,M,200000
175,2023.0,SE,FT,Data Architect,USD,US,2.0,US,M,140000
176,2022.0,SE,,Data Engineer,USD,US,,US,M,130000
177,2024.0,MI,FT,Associate,USD,US,,US,L,118400
178,2023.0,MI,FT,Machine Learning Infrastructure Engineer,USD,US,0.0,US,M,205920
179,2024.0,,FT,Data Scientist,USD,US,,US,M,198000
181,2024.0,MI,FT,Engineer,USD,,0.0,US,,132000
182,,SE,FT,Engineer,USD,US,0.0,US,M,106250
184,2024.0,MI,FT,Data Analyst,USD,,0.0,,M,125000
185,2024.0,SE,FT,Engineer,USD,US,,,,249000
186,,SE,FT,Data Analyst,USD,US,2.0,US,M,125000
187,2024.0,SE,PT,Consultant,USD,US,2.0,US,M,92300
188,,SE,FT,Engineer,USD,US,0.0,US,M,378700
189,2022.0,SE,FT,Data Science Tech Lead,USD,US,1.0,,L,375000
190,2024.0,,FT,Data Analyst,USD,US,0.0,US,,181479
191,2024.0,,,Machine Learning Engineer,USD,,0.0,,M,237000
192,2024.0,SE,FT,Principal Statistical Programmer,USD,,,US,M,106200
193,2024.0,SE,,Software Engineer,USD,US,0.0,US,M,106300
195,2024.0,SE,FT,AI Engineer,USD,US,0.0,,M,117200
196,2023.0,MI,FT,Machine Learning Engineer,USD,,,,M,105000
197,,SE,,Machine Learning Scientist,USD,US,0.0,US,,204600
198,2024.0,,FT,Machine Learning Engineer,USD,US,2.0,,M,220000
199,2024.0,,FT,Data Scientist,USD,US,2.0,US,,140250
200,2024.0,SE,FT,Machine Learning Engineer,USD,US,0.0,US,,293250
201,2024.0,SE,FT,Product Manager,USD,US,0.0,US,M,294000
202,2024.0,,FT,Manager,USD,,0.0,US,,247250
204,2024.0,MI,FT,Product Manager,USD,US,0.0,US,M,119100
205,2024.0,EN,FT,Research Scientist,USD,US,0.0,US,M,139650
206,2023.0,MI,FT,Data Engineer,USD,US,2.0,US,,100000
207,2024.0,SE,FT,Machine Learning Engineer,USD,US,,US,M,112000
208,,SE,,Data Scientist,USD,,0.0,US,M,118000
209,,SE,FT,Data Scientist,USD,,0.0,US,M,231650
210,2024.0,,FT,Research Scientist,USD,US,0.0,US,M,337300
211,2024.0,EN,FT,Analyst,USD,US,0.0,US,,80000
212,2024.0,SE,FT,Machine Learning Engineer,USD,,0.0,US,,235000
213,,SE,FT,Data Engineer,USD,US,0.0,,M,130000
214,2024.0,SE,FT,Data Modeler,USD,US,0.0,US,M,234000
215,2024.0,MI,,Associate,USD,US,0.0,US,M,138000
216,2024.0,MI,FT,Engineer,USD,US,,US,,252000
217,,MI,FT,Data Analyst,USD,,0.0,US,M,96800
218,,,FT,Data Scientist,USD,,0.0,US,M,174000
219,2023.0,SE,,Data Scientist,USD,US,,US,M,202000
221,,SE,FT,Machine Learning Engineer,USD,,0.0,US,,200000
223,2024.0,MI,FT,Data Specialist,USD,US,0.0,US,M,73000
224,2024.0,SE,,Data Engineer,USD,US,0.0,US,M,160000
225,2024.0,MI,FT,Data Engineer,USD,,0.0,,M,115000
226,2024.0,SE,FT,Data Engineer,USD,US,2.0,US,M,90000
227,2023.0,SE,FT,Data Scientist,USD,US,0.0,US,M,129300
228,2024.0,MI,FT,Analytics Engineer,USD,US,2.0,US,,120000
229,2024.0,SE,FT,Manager,USD,,0.0,US,M,175000
231,2024.0,MI,,Analyst,USD,,0.0,,M,117000
232,2024.0,EX,FT,Engineer,USD,US,,US,,170000
233,2024.0,,FT,Data Scientist,USD,US,0.0,US,M,243000
234,2023.0,MI,FT,Data Analytics Lead,GBP,,0.0,GB,M,123040
235,2024.0,SE,FT,AI Product Manager,USD,US,,US,M,251950
236,2024.0,SE,,Software Engineer,USD,US,0.0,US,M,140000
237,2024.0,SE,,Applied Scientist,USD,US,0.0,US,M,250200
238,,MI,FT,Research Engineer,USD,US,2.0,US,M,208000
239,2024.0,,FT,AI Researcher,USD,US,0.0,US,M,160000
240,2024.0,,FT,MLOps Engineer,USD,US,,US,M,185000
241,2024.0,SE,,Business Intelligence Analyst,USD,US,,US,M,127000
242,2024.0,,FT,Engineer,USD,US,0.0,US,M,237000
243,2024.0,EN,FT,Research Scientist,USD,US,0.0,US,M,230000
244,2024.0,MI,FT,Analytics Engineer,GBP,GB,,GB,M,115000
246,,SE,,Data Analyst,USD,,,US,,149300
247,2024.0,,FT,Data Engineer,USD,US,2.0,US,M,92500
248,2023.0,SE,FT,Data Scientist,USD,US,0.0,US,M,173000
249,2024.0,,,Manager,USD,US,0.0,,,142600
250,,MI,FT,Research Scientist,USD,US,0.0,US,M,293000
251,,SE,,Software Engineer,USD,,0.0,,M,170000
253,,MI,FT,Software Engineer,USD,US,0.0,US,M,151800
255,2024.0,,FT,Data Scientist,USD,US,2.0,US,M,93000
256,2024.0,SE,,Data Scientist,USD,US,0.0,US,,165100
257,2024.0,SE,,Data Analyst,USD,CA,2.0,CA,M,130000
258,2024.0,,FT,Data Engineer,USD,US,0.0,US,L,179600
259,2024.0,MI,,Machine Learning Engineer,USD,US,,US,M,126000
261,2024.0,SE,FT,Data Analyst,USD,US,0.0,US,M,88907
262,,SE,FT,Data Scientist,USD,US,0.0,US,M,180000
263,2024.0,SE,FT,Data Visualization Engineer,USD,CA,,CA,,100000
264,2024.0,MI,FT,Research Scientist,USD,US,2.0,US,M,69800
265,2024.0,MI,,Data Analyst,USD,US,2.0,US,M,85000
268,2024.0,SE,FT,AI Engineer,EUR,IE,0.0,IE,M,75888
269,2024.0,SE,FT,Analyst,USD,,0.0,US,M,113840
270,2023.0,MI,FT,Data Scientist,USD,US,0.0,US,,185900
273,2023.0,SE,FT,Machine Learning Engineer,USD,US,0.0,US,M,150000
274,2024.0,EN,FT,Data Analyst,USD,,0.0,US,M,105000
275,2024.0,SE,FT,Software Engineer,USD,,0.0,,M,245000
276,,SE,FT,Engineer,USD,US,0.0,,M,132000
277,2024.0,MI,FT,Research Scientist,USD,US,,,L,124100
278,2024.0,MI,FT,Data Scientist,USD,US,0.0,,M,140000
279,,,FT,Software Engineer,USD,US,0.0,US,,110900
280,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,M,130000
281,2023.0,SE,FT,Data Scientist,USD,US,0.0,US,,129300
282,2024.0,SE,,Machine Learning Engineer,USD,US,2.0,US,M,315000
283,,,FT,Product Manager,USD,US,,US,M,385000
284,,SE,FT,Data Engineer,USD,US,0.0,US,M,256500
285,,SE,,Data Analyst,USD,,2.0,US,M,110000
286,,MI,FT,Machine Learning Engineer,USD,US,2.0,US,M,208200
287,2024.0,SE,FT,Business Intelligence Analyst,USD,US,2.0,US,M,105000
289,2023.0,,,Analytics Engineer,USD,US,0.0,US,M,147500
294,2024.0,SE,FT,Data Analyst,USD,,,,M,80000
296,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,,210000
299,,MI,FT,Manager,USD,,0.0,US,M,95000
300,,MI,FT,Software Engineer,USD,US,0.0,US,M,178000
301,2024.0,SE,FT,Data Engineer,USD,US,0.0,US,,102000
302,2024.0,SE,FT,Data Scientist,USD,US,2.0,US,M,221500
303,2023.0,SE,FT,Machine Learning Engineer,USD,US,2.0,US,M,159090
305,2023.0,SE,FT,Analytics Engineer,USD,,2.0,,M,170000
306,2024.0,MI,FT,Data Scientist,USD,US,,US,M,120000
307,2024.0,,,Machine Learning Engineer,USD,US,0.0,US,,324000
308,2024.0,,,Engineer,USD,,0.0,US,M,143100
309,2024.0,SE,FT,AI Engineer,USD,,0.0,,M,188600
310,2024.0,MI,FT,Data Engineer,USD,US,0.0,US,M,199600
311,2024.0,SE,FT,Data Scientist,USD,,0.0,US,M,196900
312,2024.0,SE,,Cloud Engineer,USD,US,,US,M,225500
314,,SE,,Machine Learning Engineer,USD,US,0.0,US,M,200000
316,,,FT,Software Engineer,USD,US,0.0,US,,140713
317,2024.0,MI,FT,Manager,USD,US,2.0,US,M,232320
318,2024.0,MI,FT,Machine Learning Engineer,USD,,0.0,US,M,160480
319,2023.0,SE,,Data Engineer,USD,US,,US,M,255000
323,2023.0,,FT,Data Analyst,USD,US,2.0,US,M,57800
324,,SE,FT,Data Analyst,USD,US,0.0,,M,105000
325,,SE,FT,Data Analyst,USD,US,0.0,US,M,120000
326,2024.0,MI,FT,Research Scientist,USD,US,0.0,,M,136800
327,2024.0,EN,,Data Analyst,USD,US,0.0,US,,46500
328,2024.0,,FT,Product Manager,USD,,,US,,286000
330,2023.0,SE,FT,Data Analyst,USD,US,0.0,US,M,131000
331,2024.0,SE,FT,Analytics Engineer,USD,US,0.0,US,M,210000
332,2024.0,EN,FT,Engineer,USD,US,0.0,US,L,200000
333,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,M,108000
334,2024.0,MI,FT,Data Analyst,USD,,0.0,US,M,63700
337,,SE,,Software Engineer,USD,US,,US,M,212800
338,2024.0,,,Software Engineer,USD,US,0.0,US,M,106800
339,2024.0,MI,FT,Data Scientist,EUR,SK,,SK,M,26666
340,2024.0,SE,FT,Product Manager,USD,US,,US,,129800
341,,SE,FT,Machine Learning Engineer,EUR,ES,2.0,ES,M,203333
342,2024.0,SE,FT,Software Engineer,USD,,0.0,US,M,245400
344,2024.0,,,Data Scientist,USD,US,0.0,US,M,180000
346,2024.0,SE,FT,Business Intelligence Engineer,USD,,2.0,US,,156476
349,2024.0,,FT,Data Scientist,USD,US,0.0,US,M,164000
350,2024.0,EN,FT,Data Manager,USD,,0.0,,M,45000
351,2020.0,EN,FT,Data Analyst,USD,US,2.0,,L,91000
352,2024.0,SE,FT,Software Developer,USD,US,0.0,,M,223500
353,2024.0,MI,FT,Engineer,USD,US,,US,,90000
355,2023.0,SE,,Machine Learning Scientist,USD,,0.0,,M,140000
359,2024.0,MI,,Data Modeler,USD,US,0.0,US,M,179000
360,,SE,FT,Data Scientist,USD,,0.0,US,M,173000
361,,EN,,Research Scientist,USD,US,0.0,,M,237500
364,2024.0,,FT,Software Engineer,USD,US,0.0,,M,114000
365,2024.0,MI,FT,Engineering Manager,USD,,,US,M,251000
366,2024.0,SE,FT,Software Engineer,USD,,2.0,US,M,300000
367,2024.0,EX,FT,Data Engineer,USD,,0.0,US,M,208400
368,2024.0,SE,FT,Data Engineer,USD,US,0.0,US,M,135000
369,2024.0,MI,FT,Software Engineer,USD,US,2.0,US,M,200000
370,2024.0,SE,FT,Machine Learning Engineer,USD,US,0.0,,M,187040
371,2024.0,EX,,Engineer,USD,US,0.0,US,M,180000
372,2024.0,SE,,Engineer,USD,US,0.0,US,M,125760
373,2024.0,SE,FT,Machine Learning Researcher,USD,,2.0,US,,160000
374,2024.0,,FT,BI Developer,GBP,,0.0,GB,M,55381
375,2024.0,,FT,Analytics Engineer,USD,US,2.0,US,M,170000
376,2024.0,SE,FT,Principal Application Delivery Consultant,USD,US,0.0,US,M,242000
377,2023.0,MI,FT,Data Scientist,USD,US,,US,M,73100
379,2024.0,,FT,Data Scientist,USD,US,0.0,US,M,180000
382,2024.0,MI,FT,Data Analyst,USD,US,0.0,US,,83100
383,2024.0,MI,FT,Machine Learning Engineer,USD,,0.0,US,M,264200
384,,MI,,Data Manager,USD,US,0.0,US,M,113000
386,2024.0,SE,FT,Data Analyst,USD,US,0.0,US,M,175000
388,,,FT,Software Engineer,USD,US,,US,M,175800
389,2024.0,SE,FT,Data Scientist,USD,,0.0,US,M,170000
390,2024.0,EX,FT,Data Integration Engineer,USD,US,0.0,,M,150000
391,,SE,FT,Data Architect,USD,US,2.0,US,M,168200
392,2024.0,EN,FT,Data Analyst,USD,US,0.0,US,M,40000
393,2024.0,MI,,Data Visualization Engineer,USD,US,2.0,,M,89500
394,2024.0,,FT,Research Engineer,USD,US,0.0,US,M,295000
395,2024.0,,FT,Machine Learning Scientist,USD,US,0.0,US,M,157500
397,2023.0,SE,FT,Data Scientist,USD,,0.0,CA,M,281000
398,2024.0,SE,FT,Data Scientist,USD,US,,US,M,151800
399,,MI,,Backend Engineer,USD,US,2.0,US,M,130000
401,2023.0,EN,FT,Business Intelligence Analyst,USD,CA,,CA,M,55125
403,,MI,FT,Manager,USD,,0.0,US,M,231110
405,2024.0,SE,FT,Machine Learning Engineer,USD,US,,,M,185000
406,,EN,FT,Data Scientist,USD,US,0.0,US,,172000
407,,SE,FT,Data Engineer,USD,,0.0,US,M,247300
408,,SE,FT,Data Analyst,USD,US,,,M,62000
409,,,FT,Data Analyst,USD,US,0.0,,M,56280
411,,MI,FT,Data Quality Engineer,USD,,,US,M,130000
412,,SE,FT,Engineer,USD,US,,US,M,184200
413,2024.0,,FT,Platform Engineer,USD,US,,US,M,184920
414,2024.0,SE,FT,Data Analyst,USD,US,0.0,US,M,110500
416,,,FT,Data Analyst,GBP,GB,,,M,93750
417,2024.0,SE,,Data Analyst,USD,CA,,,,83000
418,2022.0,SE,FT,Data Engineer,USD,,,US,M,300000
419,,MI,FT,Data Scientist,USD,,0.0,US,M,83900
420,2023.0,SE,FT,Business Intelligence Engineer,USD,,0.0,US,L,104300
421,2022.0,SE,FT,Data Engineer,USD,US,0.0,US,M,130000
422,,SE,,Data Engineer,USD,US,0.0,,M,162000
424,2024.0,SE,FT,Software Engineer,USD,US,,US,M,65200
425,,,,Platform Engineer,USD,US,,US,M,150000
426,2024.0,SE,FT,Machine Learning Scientist,USD,US,,US,M,277000
428,2024.0,SE,FT,Data Engineer,USD,US,,,M,115000
430,,MI,,Research Scientist,USD,US,0.0,US,M,173000
431,2023.0,SE,FT,Data Engineer,USD,,,US,M,115000
432,2024.0,,FT,Software Engineer,USD,,0.0,US,M,145000
433,,,FT,Data Visualization Engineer,USD,US,0.0,,M,90700
434,2024.0,,FT,Engineer,USD,US,0.0,,M,231250
435,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,M,294000
436,,MI,FT,Data Analyst,USD,,0.0,,,113000
438,2024.0,EN,,Data Analyst,USD,US,0.0,US,,71000
439,2024.0,SE,FT,Software Engineer,USD,US,0.0,US,,300000
440,,SE,,Data Scientist,USD,US,,US,M,109100
441,2024.0,MI,FT,Research Engineer,USD,US,0.0,,M,91431
442,,,,Machine Learning Engineer,USD,US,0.0,US,,195000
443,2024.0,SE,FT,Analytics Engineer,USD,CA,2.0,CA,M,145000
444,2024.0,EN,FT,Data Analyst,USD,US,0.0,US,M,113364
445,2023.0,SE,FT,Data Scientist,USD,MX,,MX,M,90000
446,,MI,FT,Associate,USD,,0.0,US,M,90000
447,2024.0,EN,FT,Data Analyst,USD,US,0.0,US,M,85420
449,2024.0,EN,FT,Research Scientist,USD,US,0.0,US,,237500
450,2024.0,MI,FT,Research Scientist,USD,US,,US,M,167030
451,,SE,,Research Engineer,USD,US,0.0,US,M,86000
452,2023.0,SE,FT,Data Engineer,USD,US,0.0,US,,126000
453,2024.0,MI,FT,Software Developer,USD,US,0.0,US,,151800
454,,SE,FT,Software Engineer,USD,US,0.0,US,M,200200
455,2024.0,,FT,Data Analyst,USD,,,US,M,132500
456,,MI,FT,Software Engineer,USD,US,,US,M,98300
457,2024.0,SE,,Research Scientist,USD,US,0.0,,M,100000
458,2024.0,,FT,Software Engineer,USD,US,0.0,US,,145900
460,2024.0,SE,FT,Machine Learning Engineer,USD,US,0.0,US,,195540
461,,,FT,Engineering Manager,USD,US,,US,M,290180
462,2024.0,MI,FT,Machine Learning Scientist,USD,,2.0,US,,134000
463,2024.0,,,Research Scientist,USD,US,0.0,US,M,306000
465,,,,Data Engineer,USD,US,0.0,US,M,331640
466,2023.0,SE,FT,Data Analyst,USD,,,US,M,102000
467,2024.0,SE,FT,Data Scientist,USD,US,0.0,US,M,123000
468,2023.0,SE,FT,Machine Learning Engineer,USD,US,2.0,US,M,385000
469,,MI,,Data Engineer,EUR,GR,2.0,GR,M,73546
470,,MI,FT,Data Scientist,USD,US,,US,,120000
471,2024.0,SE,FT,Business Intelligence Developer,USD,US,2.0,,M,130000
472,2024.0,MI,FT,Data Analyst,USD,US,0.0,US,L,59500
473,,MI,FT,Manager,USD,US,0.0,,M,110000
474,2024.0,SE,,Data Scientist,USD,,0.0,,M,227000
475,2024.0,MI,FT,Associate,USD,,0.0,US,M,144500
476,2024.0,MI,FT,Data Engineer,USD,,0.0,US,M,257984
477,2024.0,MI,FT,Data Scientist,USD,US,,US,,158755
478,2023.0,SE,FT,Data Analyst,USD,US,2.0,US,M,51962
479,,EX,FT,Machine Learning Engineer,USD,US,0.0,,M,163300
480,2024.0,SE,FT,Decision Scientist,USD,US,2.0,US,M,177500
481,2022.0,EN,FT,Data Scientist,INR,IN,1.0,,M,22892
482,2024.0,,,Machine Learning Engineer,USD,,,US,M,192700
483,2024.0,EX,FT,Business Intelligence,USD,,,US,M,230000
485,2024.0,MI,FT,Analytics Engineer,USD,US,0.0,US,,119000
487,,,FT,Data Scientist,USD,US,0.0,US,M,236872
488,2024.0,SE,,Research Engineer,USD,US,,US,M,485000
489,2024.0,,FT,Analyst,USD,US,,US,M,89760
490,,EN,FT,Data Analyst,USD,US,0.0,US,,117300
491,2023.0,SE,FT,Data Analyst,USD,US,2.0,,M,104000
492,2024.0,SE,FT,Manager,USD,US,2.0,US,M,210000
495,2023.0,SE,FT,Analytics Engineer,USD,US,2.0,US,M,275300
496,2024.0,SE,,Data Engineer,USD,US,0.0,,M,193000
497,2024.0,SE,FT,BI Engineer,USD,,,,M,144500
498,2024.0,MI,,Software Engineer,USD,US,2.0,US,M,144660
501,,MI,,Data Analyst,USD,US,2.0,US,M,161000
502,2024.0,MI,FT,Data Specialist,USD,US,0.0,US,M,99500
503,2021.0,,FT,Principal Data Scientist,USD,US,0.0,US,L,220000
504,2024.0,SE,FT,Manager,USD,US,,US,M,124000
505,2024.0,SE,FT,Data Scientist,GBP,US,0.0,US,M,68750
506,2024.0,SE,FT,Engineer,USD,US,0.0,,M,250600
507,2023.0,,FT,Data Engineer,USD,,2.0,US,M,68637
508,,,,Backend Engineer,USD,,0.0,US,,309000
509,2024.0,MI,FT,Software Engineer,USD,US,,,M,175000
510,2024.0,MI,FT,Engineer,USD,US,0.0,US,M,264200
512,2023.0,MI,FT,Research Scientist,USD,,0.0,US,M,160000
514,2024.0,MI,FT,Associate,USD,US,0.0,US,M,110000
515,2024.0,SE,FT,Manager,USD,,,US,M,185000
516,2024.0,SE,FT,Data Engineer,USD,US,0.0,,M,199145
